rank_tier,cwid,name,primary_title,primary_department,confirmed_pubs,active_pi_grants,max_pub_impact
D_20to49_pubs,"xih2004","Xiangao Huang","Assistant Professor of Research in Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",23,0,57.0
D_20to49_pubs,"jol9057","Joshua Lantos","Assistant Professor of Radiology","Radiology",23,0,65.0
D_20to49_pubs,"avn9005","Alexis Nees","Associate Professor of Clinical Radiology","Radiology",23,0,
D_20to49_pubs,"sas9303","Saya Segal","Associate Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",23,0,38.0
D_20to49_pubs,"nil9053","Nicole Lamparello","Associate Professor of Clinical Radiology","Radiology",23,0,53.0
D_20to49_pubs,"snm2001","Snezana Nena Osorio","Professor of Clinical Pediatrics","Pediatrics",23,0,52.0
D_20to49_pubs,"aly4002","Allison L. Yang","Assistant Professor of Medicine","Medicine",23,0,
C_active_PI,"mam2185","Marta Melis","Assistant Professor of Research in Pharmacology","Pharmacology",22,1,55.0
C_active_PI,"dim2018","Diana K. Morales","Associate Professor of Microbiology and Immunology Research in Obstetrics and Gynecology","Obstetrics and Gynecology",22,1,75.0
C_active_PI,"yus4011","Yushu Shi","Assistant Professor of Population Health Sciences","Population Health Sciences",22,1,60.0
C_active_PI,"amg4017","Amirhossein Goldan","Associate Professor of Electrical Engineering in Radiology (Pending Appointment at Rank)","Radiology",22,1,65.0
C_active_PI,"zhl4003","Zhongchi Li","Instructor in Pharmacology","Pharmacology",22,1,75.0
D_20to49_pubs,"mhao","Mingming Hao","Assistant Professor of Biochemistry Research in Medicine","Medicine",22,0,62.0
D_20to49_pubs,"klk9001","Klaus Kjaer","Professor of Clinical Anesthesiology","Anesthesiology",22,0,63.0
D_20to49_pubs,"mas9819","Maelle Saliba","Assistant Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",22,0,
D_20to49_pubs,"olv9006","Ole Vielemeyer","Associate Professor of Clinical Medicine","Medicine",22,0,
D_20to49_pubs,"fto2002","Fabrizio Toscano","Assistant Professor of Clinical Medicine","Medicine",22,0,56.0
D_20to49_pubs,"nan2017","Nancy Nader","Assistant Professor of Research in Systems and Computational Biomedicine","Systems and Computational Biomedicine",22,0,55.0
D_20to49_pubs,"kah4020","Katherine Husk","Assistant Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",22,0,42.0
D_20to49_pubs,"rap2008","Pouneh Rabbany","Assistant Professor of Cell Biology Research in Medicine","Medicine",22,0,
D_20to49_pubs,"ycs9004","Kabir Malkani","Instructor in Medicine","Medicine",22,0,36.0
D_20to49_pubs,"eas9018","Emily Weg","Assistant Professor of Radiation Oncology","Radiation Oncology",22,0,52.0
D_20to49_pubs,"mrr2006","Mahboubeh Rostami","Assistant Professor of Research in Genetic Medicine","Genetic Medicine",22,0,65.0
D_20to49_pubs,"jog4018","Jonathan Gal","Assistant Professor of Urology","Urology",22,0,40.0
