cwid,slug,name,title,bio_words,voice,starts,empty_p,real_p,img,links,lists,headings,db_role,db_has_overview,net_new
,glen-prusky,Glen Prusky,Professor,237,first_plural_lab,the_lab,2,4,1,0,0,0,,,0
gfs2002,gregory-sonnenberg,Gregory Sonnenberg,Professor,175,third_lab,title,2,1,0,0,1,0,full_time_faculty,True,0
,gretchen-diehl,Gretchen Diehl,Associate Professor,262,third_lab,title,0,6,0,5,4,0,,,0
,guiseppe-faraco,Guiseppe Faraco,Assistant Professor,262,third_named,other,2,7,0,4,1,0,,,0
hut2006,hagen-tilgner,Hagen Tilgner,Associate Professor,278,third_named,other,8,6,1,0,0,0,full_time_faculty,True,0
,hans-guido-wendel,Hans-Guido Wendel,Professor,117,third_named,title,0,3,0,0,2,0,,,0
haw2002,harel-weinstein,Harel Weinstein,Professor,352,third_named,name,4,7,0,9,0,0,full_time_faculty,True,0
,harini-veeraraghavan,Harini Veeraraghavan,Associate Professor,454,first_singular,name,2,8,0,5,1,0,,,0
,hasina-outtz-reed,Hasina Outtz Reed,Assistant Professor,106,third_lab,title,0,3,0,0,1,0,,,0
hag2008,hassan-ghomrawi,Hassan Ghomrawi,Assistant Professor,54,third_named,title,0,2,1,0,0,0,,,0
,heather-yeo,Heather Yeo,Associate Professor,183,third_named,title,8,0,0,0,9,0,,,0
hes2011,heidi-stuhlmann,Heidi Stuhlmann,Professor/Chair,164,third_named,title,2,1,0,0,1,0,full_time_faculty,True,0
hjp2002,henry-pownall,Henry Pownall,Professor,207,third_named,title,2,1,0,0,1,0,affiliated_faculty,False,0
hif2002,hironori-funabiki,Hironori Funabiki,Professor,98,ambiguous,other,2,1,0,0,1,0,affiliated_faculty,False,0
hchemmi,hugh-hemmings,Hugh Hemmings,Professor,124,third_named,title,4,0,0,0,1,0,full_time_faculty,True,0
,iestyn-whitehouse,Iestyn Whitehouse,Associate Professor,93,third_named,other,0,3,0,0,0,0,,,0
ili2001,iliyan-iliev,Iliyan Iliev,Associate Professor,287,third_lab,name,2,12,0,0,0,0,full_time_faculty,True,0
imh2003,iman-hajirasouliha,Iman Hajirasouliha,Associate Professor,34,first_plural,other,0,1,0,0,0,0,full_time_faculty,False,1
inr2005,inez-rogatsky,Inez Rogatsky,Professor,140,third_lab,title,2,1,0,0,1,0,affiliated_faculty,False,0
inm2007,ingo-mellinghoff,Ingo Mellinghoff,Professor,107,third_named,title,4,0,0,0,1,0,affiliated_faculty,False,0
imd2001,inmaculada-de-melo-martin,Inmaculada De Melo-Martin,Professor,256,first_singular,name,4,7,0,6,1,0,full_time_faculty,True,0
,ivan-maillard,Ivan Maillard,Professor,493,first_singular,title,0,13,0,5,1,0,,,0
jph2002,james-hollenberg,James Hollenberg,Associate Professor,94,third_named,title,0,1,1,0,0,0,full_time_faculty,False,1
jal2063,james-lo,James Lo,Associate Professor,130,third_lab,name,4,0,0,0,1,0,full_time_faculty,True,0
jag2041,jan-grimm,Jan Grimm,Professor,144,third_named,title,2,1,0,0,1,0,affiliated_faculty,False,0
jes2002,jane-salmon,Jane Salmon,Professor,324,third_named,title,12,2,0,5,1,0,affiliated_faculty,True,0
